AfterEnd-Brake-Right1	<emphasis level="strong">after finish</emphasis> <emphasis level="strong">brake</emphasis> <emphasis level="strong">right 1</emphasis>
AfterEnd-Left3-AtTheJunction-Narrows-OverCrest	<emphasis level="strong">after finish</emphasis> <emphasis level="strong">left 3</emphasis>  <emphasis level="strong">narrows</emphasis> <emphasis level="strong">over crest</emphasis>
AfterEnd-Right3-Tightens	<emphasis level="strong">after finish</emphasis> <emphasis level="strong">right 3</emphasis> <emphasis level="strong">tightens</emphasis>
AfterFinish-Brake-Left4-Tighten2	 <emphasis level="strong">brake</emphasis> <emphasis level="strong">left 4</emphasis> <emphasis level="strong">tightens 2</emphasis>
And-Caution-Right5	and <emphasis level="strong">caution</emphasis> <emphasis level="strong">right 5</emphasis>
And-KinksStartingLeft	and <emphasis level="strong">kinks starting left</emphasis>
And-KinksStartingLeft-DontCut	and <emphasis level="strong">kinks starting left</emphasis> <emphasis level="strong">don't cut</emphasis>
And-KinksStartingLeft-OverCrest	and <emphasis level="strong">kinks starting left</emphasis> <emphasis level="strong">over crest</emphasis>
And-KinksStartingRight	and <emphasis level="strong">kinks starting right</emphasis>
And-KinksStartingRight-Brake	and <emphasis level="strong">kinks starting right</emphasis> <emphasis level="strong">brake</emphasis>
And-KinksStartingRight-OverBumps	and <emphasis level="strong">kinks starting right</emphasis> <emphasis level="strong">over bumps</emphasis>
And-Left1-DontCut	and <emphasis level="strong">left 1</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left2	and <emphasis level="strong">left 2</emphasis>
And-Left2-Long	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">long</emphasis>
And-Left2-Long-TightensLate	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">long</emphasis> <emphasis level="strong">tightens late</emphasis>
And-Left2-Opens	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">opens</emphasis>
And-Left2-OpensLate	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">opens late</emphasis>
And-Left2-Short	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">short</emphasis>
And-Left2-Tightens	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">tightens</emphasis>
And-Left2-Tightens-Caution-ThroughGate	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">tightens</emphasis> <emphasis level="strong">caution</emphasis> <emphasis level="strong">through gate</emphasis>
And-Left2-TightensLate	and <emphasis level="strong">left 2</emphasis> <emphasis level="strong">tightens late</emphasis>
And-Left3	and <emphasis level="strong">left 3</emphasis>
And-Left3-Cut	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">cut</emphasis>
And-Left3-DontCut	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left3-Long	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">long</emphasis>
And-Left3-Long-TightensLate	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">long</emphasis> <emphasis level="strong">tightens late</emphasis>
And-Left3-Opens	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">opens</emphasis>
And-Left3-Opens-VeryLong	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">opens</emphasis> <emphasis level="strong">very long</emphasis>
And-Left3-Short	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">short</emphasis>
And-Left3-Tighten2	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">tightens 2</emphasis>
And-Left3-Tighten2-Late	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">tightens 2</emphasis> <emphasis level="strong">late</emphasis>
And-Left3-Tightens	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">tightens</emphasis>
And-Left3-TightensLate	and <emphasis level="strong">left 3</emphasis> <emphasis level="strong">tightens late</emphasis>
And-Left4	and <emphasis level="strong">left 4</emphasis>
And-Left4-Brake	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">brake</emphasis>
And-Left4-Caution-LogsOutside	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">caution</emphasis> <emphasis level="strong">logs outside</emphasis>
And-Left4-DontCut	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left4-Long	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">long</emphasis>
And-Left4-Long-DontCut	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">long</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left4-Long-Opens	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">long</emphasis> <emphasis level="strong">opens</emphasis>
And-Left4-OverCrest	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">over crest</emphasis>
And-Left4-Short	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">short</emphasis>
And-Left4-Short-DontCut	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">short</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left4-Tightens	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">tightens</emphasis>
And-Left4-VeryLong	and <emphasis level="strong">left 4</emphasis> <emphasis level="strong">very long</emphasis>
And-Left5	and <emphasis level="strong">left 5</emphasis>
And-Left5-Brake	and <emphasis level="strong">left 5</emphasis> <emphasis level="strong">brake</emphasis>
And-Left5-DontCut	and <emphasis level="strong">left 5</emphasis> <emphasis level="strong">don't cut</emphasis>
And-Left5-Long	and <emphasis level="strong">left 5</emphasis> <emphasis level="strong">long</emphasis>
And-Left5-Long-Tighten4-Caution-BadCamber	and <emphasis level="strong">left 5</emphasis> <emphasis level="strong">long</emphasis> <emphasis level="strong">tightens 4</emphasis> <emphasis level="strong">caution</emphasis> <emphasis level="strong">bad camber</emphasis>
